Subject,Start Date,Start Time,End Date,End Time,Description,Location
Cloud Solutions Architecture,2025-01-06,17:00,2025-01-06,19:00,Course Code: CST8912 | Section: 010 | Delivery: Theory | Professor: Ragini Madaan | Academic Penalty Withdrawal Date: 14-Mar-2025,WA150, Woodroffe
Cloud Solutions Architecture,2025-01-13,17:00,2025-01-13,19:00,Course Code: CST8912 | Section: 010 | Delivery: Theory | Professor: Ragini Madaan | Academic Penalty Withdrawal Date: 14-Mar-2025,WA150, Woodroffe
Cloud Solutions Architecture,2025-01-20,17:00,2025-01-20,19:00,Course Code: CST8912 | Section: 010 | Delivery: Theory | Professor: Ragini Madaan | Academic Penalty Withdrawal Date: 14-Mar-2025,WA150, Woodroffe
Cloud Solutions Architecture,2025-01-27,17:00,2025-01-27,19:00,Course Code: CST8912 | Section: 010 | Delivery: Theory | Professor: Ragini Madaan | Academic Penalty Withdrawal Date: 14-Mar-2025,WA150, Woodroffe
Cloud Solutions Architecture,2025-02-03,17:00,2025-02-03,19:00,Course Code: CST8912 | Section: 010 | Delivery: Theory | Professor: Ragini Madaan | Academic Penalty Withdrawal Date: 14-Mar-2025,WA150, Woodroffe
Cloud Solutions Architecture,2025-02-10,17:00,2025-02-10,19:00,Course Code: CST8912 | Section: 010 | Delivery: Theory | Professor: Ragini Madaan | Academic Penalty Withdrawal Date: 14-Mar-2025,WA150, Woodroffe
Cloud Solutions Architecture,2025-02-17,17:00,2025-02-17,19:00,Course Code: CST8912 | Section: 010 | Delivery: Theory | Professor: Ragini Madaan | Academic Penalty Withdrawal Date: 14-Mar-2025,WA150, Woodroffe
Cloud Solutions Architecture,2025-02-24,17:00,2025-02-24,19:00,Course Code: CST8912 | Section: 010 | Delivery: Theory | Professor: Ragini Madaan | Academic Penalty Withdrawal Date: 14-Mar-2025,WA150, Woodroffe
Cloud Solutions Architecture,2025-03-03,17:00,2025-03-03,19:00,Course Code: CST8912 | Section: 010 | Delivery: Theory | Professor: Ragini Madaan | Academic Penalty Withdrawal Date: 14-Mar-2025,WA150, Woodroffe
Cloud Solutions Architecture,2025-03-10,17:00,2025-03-10,19:00,Course Code: CST8912 | Section: 010 | Delivery: Theory | Professor: Ragini Madaan | Academic Penalty Withdrawal Date: 14-Mar-2025,WA150, Woodroffe
Cloud Solutions Architecture,2025-03-17,17:00,2025-03-17,19:00,Course Code: CST8912 | Section: 010 | Delivery: Theory | Professor: Ragini Madaan | Academic Penalty Withdrawal Date: 14-Mar-2025,WA150, Woodroffe
Cloud Solutions Architecture,2025-03-24,17:00,2025-03-24,19:00,Course Code: CST8912 | Section: 010 | Delivery: Theory | Professor: Ragini Madaan | Academic Penalty Withdrawal Date: 14-Mar-2025,WA150, Woodroffe
Cloud Solutions Architecture,2025-03-31,17:00,2025-03-31,19:00,Course Code: CST8912 | Section: 010 | Delivery: Theory | Professor: Ragini Madaan | Academic Penalty Withdrawal Date: 14-Mar-2025,WA150, Woodroffe
Cloud Solutions Architecture,2025-04-07,17:00,2025-04-07,19:00,Course Code: CST8912 | Section: 010 | Delivery: Theory | Professor: Ragini Madaan | Academic Penalty Withdrawal Date: 14-Mar-2025,WA150, Woodroffe
Full-stack Cloud-native Development,2025-01-06,19:00,2025-01-06,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-01-13,19:00,2025-01-13,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-01-20,19:00,2025-01-20,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-01-27,19:00,2025-01-27,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-02-03,19:00,2025-02-03,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-02-10,19:00,2025-02-10,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-02-17,19:00,2025-02-17,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-02-24,19:00,2025-02-24,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-03-03,19:00,2025-03-03,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-03-10,19:00,2025-03-10,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-03-17,19:00,2025-03-17,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-03-24,19:00,2025-03-24,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-03-31,19:00,2025-03-31,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-04-07,19:00,2025-04-07,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-01-06,19:00,2025-01-06,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-01-13,19:00,2025-01-13,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-01-20,19:00,2025-01-20,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-01-27,19:00,2025-01-27,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-02-03,19:00,2025-02-03,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-02-10,19:00,2025-02-10,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-02-17,19:00,2025-02-17,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-02-24,19:00,2025-02-24,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-03-03,19:00,2025-03-03,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-03-10,19:00,2025-03-10,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-03-17,19:00,2025-03-17,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-03-24,19:00,2025-03-24,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-03-31,19:00,2025-03-31,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-04-07,19:00,2025-04-07,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-01-06,19:00,2025-01-06,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-01-13,19:00,2025-01-13,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-01-20,19:00,2025-01-20,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-01-27,19:00,2025-01-27,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-02-03,19:00,2025-02-03,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-02-10,19:00,2025-02-10,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-02-17,19:00,2025-02-17,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-02-24,19:00,2025-02-24,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-03-03,19:00,2025-03-03,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-03-10,19:00,2025-03-10,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-03-17,19:00,2025-03-17,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-03-24,19:00,2025-03-24,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-03-31,19:00,2025-03-31,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-04-07,19:00,2025-04-07,21:00,Course Code: CST8915 | Section: 011 | Delivery: Lab | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,CA407, Woodroffe
Full-stack Cloud-native Development,2025-01-07,16:00,2025-01-07,18:00,Course Code: CST8915 | Section: 010 | Delivery: Theory | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,WT117, Woodroffe
Full-stack Cloud-native Development,2025-01-14,16:00,2025-01-14,18:00,Course Code: CST8915 | Section: 010 | Delivery: Theory | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,WT117, Woodroffe
Full-stack Cloud-native Development,2025-01-21,16:00,2025-01-21,18:00,Course Code: CST8915 | Section: 010 | Delivery: Theory | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,WT117, Woodroffe
Full-stack Cloud-native Development,2025-01-28,16:00,2025-01-28,18:00,Course Code: CST8915 | Section: 010 | Delivery: Theory | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,WT117, Woodroffe
Full-stack Cloud-native Development,2025-02-04,16:00,2025-02-04,18:00,Course Code: CST8915 | Section: 010 | Delivery: Theory | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,WT117, Woodroffe
Full-stack Cloud-native Development,2025-02-11,16:00,2025-02-11,18:00,Course Code: CST8915 | Section: 010 | Delivery: Theory | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,WT117, Woodroffe
Full-stack Cloud-native Development,2025-02-18,16:00,2025-02-18,18:00,Course Code: CST8915 | Section: 010 | Delivery: Theory | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,WT117, Woodroffe
Full-stack Cloud-native Development,2025-02-25,16:00,2025-02-25,18:00,Course Code: CST8915 | Section: 010 | Delivery: Theory | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,WT117, Woodroffe
Full-stack Cloud-native Development,2025-03-04,16:00,2025-03-04,18:00,Course Code: CST8915 | Section: 010 | Delivery: Theory | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,WT117, Woodroffe
Full-stack Cloud-native Development,2025-03-11,16:00,2025-03-11,18:00,Course Code: CST8915 | Section: 010 | Delivery: Theory | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,WT117, Woodroffe
Full-stack Cloud-native Development,2025-03-18,16:00,2025-03-18,18:00,Course Code: CST8915 | Section: 010 | Delivery: Theory | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,WT117, Woodroffe
Full-stack Cloud-native Development,2025-03-25,16:00,2025-03-25,18:00,Course Code: CST8915 | Section: 010 | Delivery: Theory | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,WT117, Woodroffe
Full-stack Cloud-native Development,2025-04-01,16:00,2025-04-01,18:00,Course Code: CST8915 | Section: 010 | Delivery: Theory | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,WT117, Woodroffe
Full-stack Cloud-native Development,2025-04-08,16:00,2025-04-08,18:00,Course Code: CST8915 | Section: 010 | Delivery: Theory | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,WT117, Woodroffe
Full-stack Cloud-native Development,2025-01-07,16:00,2025-01-07,18:00,Course Code: CST8915 | Section: 010 | Delivery: Theory | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,WT117, Woodroffe
Full-stack Cloud-native Development,2025-01-14,16:00,2025-01-14,18:00,Course Code: CST8915 | Section: 010 | Delivery: Theory | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,WT117, Woodroffe
Full-stack Cloud-native Development,2025-01-21,16:00,2025-01-21,18:00,Course Code: CST8915 | Section: 010 | Delivery: Theory | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,WT117, Woodroffe
Full-stack Cloud-native Development,2025-01-28,16:00,2025-01-28,18:00,Course Code: CST8915 | Section: 010 | Delivery: Theory | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,WT117, Woodroffe
Full-stack Cloud-native Development,2025-02-04,16:00,2025-02-04,18:00,Course Code: CST8915 | Section: 010 | Delivery: Theory | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,WT117, Woodroffe
Full-stack Cloud-native Development,2025-02-11,16:00,2025-02-11,18:00,Course Code: CST8915 | Section: 010 | Delivery: Theory | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,WT117, Woodroffe
Full-stack Cloud-native Development,2025-02-18,16:00,2025-02-18,18:00,Course Code: CST8915 | Section: 010 | Delivery: Theory | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,WT117, Woodroffe
Full-stack Cloud-native Development,2025-02-25,16:00,2025-02-25,18:00,Course Code: CST8915 | Section: 010 | Delivery: Theory | Professor: Ramy Mohamed | Academic Penalty Withdrawal Date: 14-Mar-2025,WT117, Woodroffe
